City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,taulaga,-11.0553,-171.0883,27.97,79,76,6.77,AS,1691632760
339,east ballina,-28.8667,153.5833,22.11,44,0,2.7,AU,1691632220
340,gutierrez zamora,20.45,-97.0833,28.44,81,3,6.24,MX,1691632760
341,saint croix,17.7397,-64.7388,29.25,74,0,5.14,VI,1691632760
342,lorengau,-2.0226,147.2712,28.49,75,100,7.27,PG,1691632218
343,paris,48.8534,2.3488,17.3,87,0,2.06,FR,1691632757
344,tymovskoye,50.8456,142.655,21.87,60,100,0.99,RU,1691632761
345,mahina,-17.5065,-149.489,28.87,54,20,2.06,PF,1691632761
346,coronel marcelino mariduena,-2.2,-79.4167,24.66,79,78,1.6,EC,1691632761
347,polyarnyy,69.1989,33.4478,17.09,78,0,3.57,RU,1691632173
348,youssoufia,32.2463,-8.5294,25.1,65,15,3.59,MA,1691632761
349,okha,53.5739,142.9478,15.92,78,92,3.54,RU,1691632187
350,st. john's,47.5649,-52.7093,13.21,92,100,8.23,CA,1691632225
351,saipan,15.1355,145.701,29.39,100,0,4.12,MP,1691632762
352,la sarre,48.8002,-79.1996,13.22,94,85,2.63,CA,1691632762
353,lompoc,34.6391,-120.4579,24.08,82,100,2.57,US,1691632682
354,vernon,50.2581,-119.2691,27.2,45,46,3.58,CA,1691632225
355,vuktyl,63.8567,57.3094,14.81,76,54,2.97,RU,1691632763
356,una,20.8167,71.0333,26.53,85,100,5.51,IN,1691632584
357,maiduguri,11.8464,13.1603,22.49,91,100,2.93,NG,1691632763
358,puerto real,36.5282,-6.1901,25.34,70,0,1.53,ES,1691632763
359,san angelo,31.4638,-100.437,39.12,26,0,4.12,US,1691632763
360,lensk,60.7253,114.9278,27.45,44,14,2.46,RU,1691632763
361,tibro,58.4245,14.1616,12.09,97,100,1.79,SE,1691632764
362,paramonga,-10.6667,-77.8333,19.14,84,33,4.07,PE,1691632764
363,lae,-6.7221,146.9847,25.37,92,100,2.69,PG,1691632764
364,metu,8.3,35.5833,14.22,99,98,1.03,ET,1691632764
